ticker,price_date,close_price
XOM,2017-06-20,80.772
AAPL,2017-06-21,144.78
JNJ,2017-06-21,134.06
JPM,2017-06-21,86.139
KO,2017-06-21,44.863
MSFT,2017-06-21,69.898
XOM,2017-06-21,79.918
AAPL,2017-06-22,144.54
JNJ,2017-06-22,135.19
JPM,2017-06-22,86.041
KO,2017-06-22,44.714
MSFT,2017-06-22,69.888
XOM,2017-06-22,79.566
AAPL,2017-06-23,145.19
JNJ,2017-06-23,135.57
JPM,2017-06-23,85.883
KO,2017-06-23,44.893
MSFT,2017-06-23,70.833
XOM,2017-06-23,80.086
AAPL,2017-06-26,144.73
JNJ,2017-06-26,135.48
JPM,2017-06-26,86.259
KO,2017-06-26,45.071
MSFT,2017-06-26,70.156
XOM,2017-06-26,79.722
AAPL,2017-06-27,142.66
JNJ,2017-06-27,134.16
JPM,2017-06-27,87.059
KO,2017-06-27,44.694
MSFT,2017-06-27,68.843
XOM,2017-06-27,79.594
AAPL,2017-06-28,144.74
JNJ,2017-06-28,132.97
JPM,2017-06-28,88.81
KO,2017-06-28,44.962
MSFT,2017-06-28,69.43
XOM,2017-06-28,80.007
AAPL,2017-06-29,142.61
JNJ,2017-06-29,131.8
JPM,2017-06-29,90.124
KO,2017-06-29,44.476
MSFT,2017-06-29,68.127
XOM,2017-06-29,79.192
AAPL,2017-06-30,142.95
JNJ,2017-06-30,131.45
JPM,2017-06-30,90.372
KO,2017-06-30,44.496
MSFT,2017-06-30,68.565
XOM,2017-06-30,79.222
AAPL,2017-07-03,142.43
JNJ,2017-07-03,132.06
JPM,2017-07-03,92.211
KO,2017-07-03,44.407
MSFT,2017-07-03,67.809
XOM,2017-07-03,80.566
AAPL,2017-07-05,143.02
JNJ,2017-07-05,132.8
JPM,2017-07-05,93.136
KO,2017-07-05,44.466
MSFT,2017-07-05,68.714
XOM,2017-07-05,79.34
AAPL,2017-07-06,141.66
JNJ,2017-07-06,131.68
JPM,2017-07-06,92.837
KO,2017-07-06,44.049
MSFT,2017-07-06,68.207
XOM,2017-07-06,78.623
AAPL,2017-07-07,143.11
JNJ,2017-07-07,131.7
JPM,2017-07-07,93.305
KO,2017-07-07,44.04
